Timestamp,High,Low,Open,volumefrom,volumeto,Close,conversionType,conversionSymbol,Date
1465257600,591.32,543.63,583.58,84694.25,49082472.71,575.58,direct,,6/7/2016
1465344000,582.44,567.78,575.58,49604.16,28706216.31,580.51,direct,,6/8/2016
1465430400,580.71,569.26,580.51,48613.35,28010575.91,574.69,direct,,6/9/2016
1465516800,579.26,571.14,574.69,45501.86,26290866.62,577.89,direct,,6/10/2016
1465603200,592.61,576.29,577.89,42217.02,24790441.26,591.6,direct,,6/11/2016
1465689600,683.85,592.79,591.6,217379.53,139684630.3,666.55,direct,,6/12/2016
1465776000,718.24,652.78,666.55,216731.32,149442548.7,700.07,direct,,6/13/2016
1465862400,702.52,654.69,700.07,135648.79,92458349.24,685.14,direct,,6/14/2016
1465948800,695.07,670.45,685.14,78620.97,53863568.9,690.77,direct,,6/15/2016
1466035200,769.73,687.43,690.77,229569.22,169704647,761.21,direct,,6/16/2016
1466121600,771.89,704.21,761.21,215870.36,160302360.3,743.9,direct,,6/17/2016
1466208000,776.04,727.13,743.9,120525.37,91056993.79,753.77,direct,,6/18/2016
1466294400,765.1,740.38,753.77,60445.37,45805980.62,761.04,direct,,6/19/2016
1466380800,764.6,717.41,761.04,112290.09,83637617.46,733.97,direct,,6/20/2016
1466467200,732.23,626.05,733.97,248083.39,166828425.9,667.38,direct,,6/21/2016
1466553600,677.8,586.6,667.38,202320.1,129550795.9,590.56,direct,,6/22/2016
1466640000,629.55,539.28,590.56,261739.44,154289129.7,620.84,direct,,6/23/2016
1466726400,687.39,616.41,620.84,196694.45,128990817.1,656.89,direct,,6/24/2016
1466812800,688.1,640.79,656.89,100457.69,67442141.07,663.52,direct,,6/25/2016
1466899200,665.19,609.9,663.52,88928.71,56403088.15,625.41,direct,,6/26/2016
1466985600,650.34,615.22,625.41,99812.97,63747137.15,644.66,direct,,6/27/2016
1467072000,659.27,634.26,644.66,76657.93,49673830.24,644.89,direct,,6/28/2016
1467158400,645.91,621.76,644.89,80218.82,50898093.64,636.54,direct,,6/29/2016
1467244800,673.04,631.24,636.54,88203.81,58215062.66,670.02,direct,,6/30/2016
1467331200,685.11,661.09,670.02,92227.36,62394480.64,674.57,direct,,7/1/2016
1467417600,700.46,671.46,674.57,67380.47,46555796.93,698.06,direct,,7/2/2016
1467504000,701.49,644.61,698.06,99268.29,66591456.99,661.64,direct,,7/3/2016
1467590400,679.03,644.04,661.64,63905.01,42756935.48,675.16,direct,,7/4/2016
1467676800,679.19,657.31,675.16,54642.8,36687264.23,663.67,direct,,7/5/2016
1467763200,678.39,662.24,663.67,47049.5,31708100.51,672.7,direct,,7/6/2016
1467849600,676.19,604.95,672.7,153608.21,97639342.03,635.25,direct,,7/7/2016
1467936000,663.43,630.17,635.25,75892.55,49243011.02,662.78,direct,,7/8/2016
1468022400,663.49,620.68,662.78,96013.13,62061207.33,651.83,direct,,7/9/2016
